Fp1,Fp2,C3,C4,Pz,O1,O2,Fz,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Timestamp,Markers
85189.74219,85119.82812,85490.86719,85431.94531,85468.15625,85525.10938,85487.91406,85607.27344,0.58105,0.69629,0.44751,-1.61743,3.14331,2.22778,73.33334,974.00000,1.00000,1745567305.60777,0.00000
81486.32812,81417.12500,81789.24219,81729.25000,81764.56250,81820.26562,81786.02344,81903.59375,0.58008,0.69824,0.44922,-1.55640,3.11279,2.19727,73.33334,975.00000,1.00000,1745567305.60780,0.00000
88518.63281,88447.91406,88818.23438,88759.76562,88797.31250,88854.89062,88815.64062,88936.60938,0.57837,0.70093,0.44873,-1.64795,3.08228,2.13623,73.33334,1032.00000,1.00000,1745567305.81965,0.00000
231374.89062,231253.65625,231603.51562,231570.51562,231644.01562,231738.34375,231588.76562,231771.32812,0.57959,0.70117,0.44800,-1.70898,3.11279,2.28882,73.33334,6453.00000,1.00000,1745567327.44852,0.00000
233704.12500,233582.09375,233931.93750,233898.95312,233973.06250,234068.18750,233916.65625,234100.10938,0.57910,0.70093,0.45093,-1.64795,3.08228,2.34985,73.33334,6454.00000,1.00000,1745567327.45157,0.00000
237376.79688,237254.03125,237602.62500,237570.53125,237645.18750,237741.65625,237587.34375,237772.42188,0.57837,0.69946,0.44824,-1.67847,3.17383,2.31934,73.33334,6455.00000,1.00000,1745567327.45159,0.00000
237354.43750,237231.85938,237579.92188,237548.26562,237623.10938,237719.39062,237564.90625,237750.06250,0.57812,0.69995,0.45044,-1.49536,3.14331,2.22778,73.33334,6456.00000,1.00000,1745567327.45978,0.00000
233676.40625,233555.00000,233904.12500,233871.50000,233945.53125,234040.65625,233889.20312,234072.93750,0.57959,0.69775,0.44849,-1.52588,3.17383,2.22778,73.33334,6457.00000,1.00000,1745567327.46283,0.00000
231461.62500,231340.39062,231690.23438,231657.15625,231730.29688,231824.89062,231675.48438,231857.96875,0.57837,0.69653,0.44971,-1.64795,3.11279,2.19727,73.33334,6458.00000,1.00000,1745567327.46285,0.00000
233745.07812,233622.95312,233972.53125,233939.53125,234013.03125,234108.60938,233957.23438,234140.60938,0.57910,0.69653,0.44800,-1.55640,3.11279,2.25830,73.33334,6459.00000,1.00000,1745567327.47101,0.00000
237429.81250,237306.96875,237655.10938,237623.28125,237697.67188,237794.04688,237639.64062,237824.89062,0.57788,0.69897,0.44824,-1.67847,3.17383,2.22778,73.33334,6460.00000,1.00000,1745567327.47350,0.00000
237462.62500,237339.50000,237687.65625,237656.09375,237730.93750,237827.31250,237672.54688,237857.89062,0.57886,0.69995,0.44702,-1.70898,3.14331,2.25830,73.33334,6461.00000,1.00000,1745567327.47725,0.00000
233802.03125,233679.71875,234029.12500,233996.67188,234070.60938,234165.73438,234014.45312,234197.92188,0.57983,0.69897,0.45093,-1.77002,3.11279,2.34985,73.33334,6462.00000,1.00000,1745567327.48393,0.00000
231547.71875,231425.95312,231776.25000,231743.17188,231816.12500,231910.89062,231761.31250,231943.89062,0.57983,0.70044,0.45068,-1.64795,3.14331,2.31934,73.33334,6463.00000,1.00000,1745567327.48395,0.00000
233783.25000,233660.95312,234010.60938,233977.53125,234051.65625,234146.96875,233995.59375,234179.06250,0.57935,0.70044,0.44873,-1.67847,3.17383,2.34985,73.33334,6464.00000,1.00000,1745567327.48977,0.00000
241779.90625,241656.17188,242002.70312,241971.85938,242047.59375,242145.67188,241987.23438,242174.64062,0.58057,0.69971,0.44702,-1.73950,3.20435,2.22778,73.33334,6782.00000,1.00000,1745567328.75745,0.00000
245556.90625,245431.82812,245777.64062,245747.07812,245824.23438,245923.10938,245761.73438,245950.73438,0.58179,0.69995,0.44995,-1.67847,3.11279,2.31934,73.33334,7026.00000,1.00000,1745567329.73247,0.00000
245986.14062,245861.78125,246207.25000,246176.76562,246253.82812,246353.15625,246191.06250,246380.43750,0.58130,0.69849,0.45068,-1.55640,3.11279,2.25830,73.33334,7086.00000,1.00000,1745567329.97749,0.00000
