Fp1,Fp2,C3,C4,Pz,O1,O2,Fz,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Timestamp,Markers
73194.81250,73125.96875,73501.21094,73436.48438,73473.40625,73525.43750,73498.53125,73610.82812,0.58276,0.69897,0.45117,-1.67847,3.05176,2.34985,73.33334,823.00000,1.00000,1745567445.89267,0.00000
89284.22656,89212.70312,89582.57812,89524.46094,89563.00000,89620.12500,89579.89844,89701.93750,0.57886,0.69604,0.44995,-1.70898,3.17383,2.22778,73.33334,1005.00000,1.00000,1745567446.62144,0.00000
227660.93750,227539.96875,227890.70312,227856.73438,227929.87500,228023.29688,227876.04688,228057.09375,0.57959,0.70020,0.45215,-1.55640,3.23486,2.25830,73.33334,5941.00000,1.00000,1745567466.32087,0.00000
229836.39062,229715.14062,230065.26562,230031.73438,230105.23438,230199.20312,230050.68750,230232.45312,0.57959,0.70044,0.45093,-1.61743,3.08228,2.34985,73.33334,5942.00000,1.00000,1745567466.32088,0.00000
227502.59375,227382.15625,227733.07812,227699.01562,227771.96875,227865.31250,227718.51562,227898.93750,0.57910,0.69946,0.45117,-1.73950,3.14331,2.31934,73.33334,5943.00000,1.00000,1745567466.32404,0.00000
223913.43750,223793.71875,224145.54688,224111.03125,224183.09375,224275.17188,224131.32812,224310.14062,0.57886,0.70020,0.45068,-1.83105,3.11279,2.31934,73.33334,5944.00000,1.00000,1745567466.32406,0.00000
224028.32812,223908.87500,224259.98438,224225.82812,224297.62500,224389.98438,224245.67188,224424.84375,0.57935,0.70044,0.45117,-1.67847,3.05176,2.31934,73.33334,5945.00000,1.00000,1745567466.33595,0.00000
227709.92188,227589.57812,227940.06250,227906.26562,227978.95312,228072.56250,227925.39062,228106.17188,0.57788,0.69849,0.45117,-1.64795,3.08228,2.28882,73.33334,5946.00000,1.00000,1745567466.34278,0.00000
229919.79688,229798.82812,230148.85938,230115.32812,230188.56250,230282.96875,230134.01562,230315.42188,0.57812,0.69849,0.45142,-1.73950,3.23486,2.34985,73.33334,5947.00000,1.00000,1745567466.34281,0.00000
227622.21875,227501.51562,227852.53125,227818.46875,227890.79688,227984.76562,227837.59375,228018.03125,0.57861,0.69800,0.45288,-1.70898,3.11279,2.19727,73.33334,5948.00000,1.00000,1745567466.34899,0.00000
224018.40625,223898.68750,224250.40625,224215.71875,224287.34375,224379.87500,224235.92188,224414.75000,0.57983,0.70068,0.45142,-1.80054,3.14331,2.16675,73.33334,5949.00000,1.00000,1745567466.34900,0.00000
224088.14062,223968.32812,224319.89062,224285.18750,224357.07812,224449.34375,224305.48438,224484.21875,0.57959,0.69971,0.44946,-1.73950,3.17383,2.25830,73.33334,5950.00000,1.00000,1745567466.36277,0.00000
227754.54688,227634.28125,227984.57812,227950.43750,228023.39062,228116.81250,227970.01562,228150.53125,0.57935,0.70093,0.45068,-1.67847,3.14331,2.34985,73.33334,5951.00000,1.00000,1745567466.36280,0.00000
230000.43750,229879.39062,230229.50000,230195.62500,230269.37500,230363.43750,230214.84375,230396.25000,0.57837,0.70215,0.45312,-1.70898,3.11279,2.31934,73.33334,5952.00000,1.00000,1745567466.36960,0.00000
227743.64062,227622.93750,227973.59375,227939.70312,228012.48438,228106.09375,227959.28125,228139.53125,0.57910,0.69971,0.45190,-1.67847,3.11279,2.34985,73.33334,5953.00000,1.00000,1745567466.36962,0.00000
224129.09375,224009.01562,224360.82812,224326.14062,224397.93750,224490.56250,224346.70312,224525.34375,0.57788,0.69971,0.45020,-1.70898,3.11279,2.28882,73.33334,5954.00000,1.00000,1745567466.36963,0.00000
229096.98438,228976.10938,229326.14062,229292.78125,229365.75000,229459.43750,229311.75000,229493.32812,0.57959,0.69800,0.45020,-1.77002,2.99072,2.41089,73.33334,6096.00000,1.00000,1745567466.93039,0.00000
