Fp1,Fp2,C3,C4,Pz,O1,O2,Fz,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Timestamp,Markers
36377.82422,36318.81641,36715.06641,36623.87109,36665.89453,36705.76953,36714.79688,36794.19141,-0.52661,0.04736,-0.84863,-1.70898,3.44849,2.28882,100.00000,421.00000,1.00000,1751341477.38181,0.00000
36485.73828,36426.99609,36822.98047,36731.87500,36774.07422,36814.12891,36822.71094,36902.19531,-0.52905,0.04590,-0.84863,-1.67847,3.35693,2.28882,100.00000,422.00000,1.00000,1751341477.38183,0.00000
36559.14062,36499.77344,36895.84766,36805.01172,36847.21094,36887.62109,36895.93750,36975.41797,-0.52856,0.04614,-0.84741,-1.64795,3.32642,2.41089,100.00000,423.00000,1.00000,1751341477.38184,0.00000
254723.26562,254595.85938,254945.00000,254916.10938,254993.45312,255096.81250,254932.20312,255125.32812,-0.52710,0.04688,-0.84692,-1.77002,3.29590,2.31934,100.00000,6060.00000,1.00000,1751341499.88155,0.00000
256148.50000,256020.56250,256369.68750,256340.81250,256418.23438,256522.57812,256356.45312,256550.03125,-0.52832,0.04834,-0.84790,-1.73950,3.32642,2.31934,100.00000,6123.00000,1.00000,1751341500.13303,0.00000
256205.81250,256078.04688,256427.09375,256398.29688,256475.18750,256579.79688,256413.59375,256607.25000,-0.52832,0.04834,-0.84595,-1.73950,3.32642,2.16675,100.00000,6124.00000,1.00000,1751341500.13658,0.00000
256195.79688,256067.85938,256416.98438,256388.37500,256465.53125,256569.78125,256403.57812,256597.40625,-0.53101,0.04639,-0.84619,-1.70898,3.32642,2.28882,100.00000,6125.00000,1.00000,1751341500.14281,0.00000
129.72954,67155.90625,10572.64355,-580.34070,4797.57861,15070.26172,0.08941,-1.69873,-0.52319,0.05493,-0.80933,0.00000,0.00000,0.00000,100.00000,1.00000,1.00000,1751341506.02270,0.00000
0.00000,-0.08941,0.00000,0.00000,0.00000,0.00000,-3.03984,-44.88231,-0.52710,0.05078,-0.83179,0.00000,0.00000,0.00000,100.00000,2.00000,1.00000,1751341506.02531,0.00000
0.00000,-208.05005,0.00000,0.00000,-24.22929,0.00000,-399.55981,-471.08539,-0.52808,0.04858,-0.84253,0.00000,0.00000,0.00000,100.00000,3.00000,1.00000,1751341506.03270,0.00000
0.00000,-1237.48206,-49.79969,-23.24582,-938.95215,0.00000,-1823.18713,-1226.75317,-0.52905,0.04883,-0.84497,0.00000,0.00000,0.00000,100.00000,4.00000,1.00000,1751341506.03680,0.00000
0.00000,-1604.49768,-845.07477,-593.84119,-2098.56079,0.00000,-2273.70898,-5490.12500,-0.52710,0.04785,-0.84497,0.00000,0.00000,0.00000,100.00000,5.00000,1.00000,1751341506.03682,0.00000
