Fp1,Fp2,C3,C4,Pz,O1,O2,Fz,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Timestamp,Markers
-117.39137,-122.21935,-114.88797,-121.41468,-108.27186,-119.53713,-108.36126,-114.97738,-0.52881,0.04956,-0.84644,-2.01416,3.26538,2.34985,100.00000,157.00000,1.00000,1751341286.42260,0.00000
29048.32812,28987.80078,29382.08398,29294.01953,29331.83789,29368.76367,29379.66992,29460.31641,-0.52954,0.05029,-0.84619,-1.86157,3.29590,2.31934,100.00000,367.00000,1.00000,1751341287.25218,0.00000
76673.54688,76604.17188,76982.45312,76918.25781,76953.39062,77008.73438,76981.37500,77095.19531,-0.52832,0.05054,-0.84888,-1.77002,3.29590,2.38037,100.00000,850.00000,1.00000,1751341289.17826,0.00000
76712.08594,76642.07812,77020.27344,76956.43750,76991.75000,77046.55469,77019.28906,77133.46094,-0.52954,0.05103,-0.84521,-1.77002,3.17383,2.41089,100.00000,851.00000,1.00000,1751341289.17828,0.00000
76740.96094,76671.58594,77049.77344,76985.93750,77021.25781,77076.14844,77048.25781,77162.78906,-0.53223,0.04956,-0.84448,-1.77002,3.20435,2.31934,100.00000,852.00000,1.00000,1751341289.18012,0.00000
96359.17969,96286.67188,96659.22656,96602.00781,96640.09375,96701.78906,96658.42188,96783.59375,-0.52832,0.04883,-0.84473,-1.73950,3.35693,2.38037,100.00000,1139.00000,1.00000,1751341290.32700,0.00000
96478.53906,96406.03125,96778.40625,96721.10156,96759.27344,96821.41406,96777.78125,96902.86719,-0.52905,0.04932,-0.84424,-1.83105,3.29590,2.28882,100.00000,1140.00000,1.00000,1751341290.32890,0.00000
96548.45312,96475.67969,96848.05469,96790.83594,96829.46094,96891.32812,96847.87500,96972.96094,-0.53003,0.04907,-0.84814,-1.83105,3.32642,2.28882,100.00000,1141.00000,1.00000,1751341290.34268,0.00000
96563.29688,96490.16406,96862.81250,96806.03906,96844.65625,96906.25781,96862.63281,96987.79688,-0.52954,0.04883,-0.84692,-1.86157,3.26538,2.31934,100.00000,1142.00000,1.00000,1751341290.34579,0.00000
96586.71875,96513.58594,96886.14062,96829.10156,96867.54688,96929.77344,96885.78906,97010.95312,-0.52905,0.04932,-0.84741,-1.80054,3.29590,2.31934,100.00000,1143.00000,1.00000,1751341290.34583,0.00000
97280.69531,97207.56250,97579.67188,97522.89844,97561.78906,97623.84375,97579.49219,97705.20312,-0.52856,0.04883,-0.84521,-1.73950,3.32642,2.34985,100.00000,1154.00000,1.00000,1751341290.39015,0.00000
97400.23438,97327.18750,97698.85156,97642.35156,97681.24219,97743.20312,97699.21094,97824.64844,-0.52905,0.04858,-0.84570,-1.73950,3.29590,2.34985,100.00000,1155.00000,1.00000,1751341290.39448,0.00000
