Fp1,Fp2,C3,C4,Pz,O1,O2,Fz,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Timestamp,Markers
67258.10156,67191.31250,67567.89844,67499.23438,67537.04688,67587.39062,67564.85938,67673.30469,0.58276,0.69922,0.45190,-1.61743,3.02124,2.31934,73.33334,770.00000,1.00000,1745567049.66696,0.00000
70697.50000,70629.28125,71004.96875,70938.98438,70975.64062,71027.32031,71002.10938,71112.88281,0.57959,0.69897,0.45142,-1.58691,3.08228,2.34985,73.33334,771.00000,1.00000,1745567049.66698,0.00000
110419.76562,110344.03906,110707.57031,110655.89062,110698.98438,110763.00000,110705.86719,110839.17969,0.58276,0.69946,0.45215,-1.77002,3.14331,2.22778,73.33334,1432.00000,1.00000,1745567052.29992,0.00000
229590.51562,229469.18750,229819.93750,229786.76562,229859.89062,229953.42188,229805.98438,229987.12500,0.57837,0.69946,0.45288,-1.80054,3.17383,2.28882,73.33334,5972.00000,1.00000,1745567070.41379,0.00000
229661.14062,229540.17188,229890.46875,229857.21875,229930.53125,230023.95312,229876.79688,230057.84375,0.57910,0.69727,0.44702,-1.70898,3.08228,2.22778,73.33334,5977.00000,1.00000,1745567070.43568,0.00000
229110.84375,228989.96875,229340.53125,229307.09375,229380.23438,229473.39062,229326.50000,229507.64062,0.57837,0.69946,0.45093,-1.61743,3.17383,2.25830,73.33334,5978.00000,1.00000,1745567070.43570,0.00000
225765.68750,225645.60938,225996.62500,225962.64062,226034.98438,226127.60938,225983.12500,226162.92188,0.57935,0.69971,0.44897,-1.61743,3.17383,2.25830,73.33334,5979.00000,1.00000,1745567070.44905,0.00000
224282.42188,224163.23438,224514.60938,224480.28125,224552.43750,224644.51562,224501.01562,224679.56250,0.57812,0.69897,0.45068,-1.61743,3.11279,2.31934,73.33334,5980.00000,1.00000,1745567070.45569,0.00000
226701.85938,226582.23438,226932.71875,226899.18750,226971.60938,227064.40625,226919.03125,227098.92188,0.57910,0.69873,0.45068,-1.61743,3.17383,2.38037,73.33334,5981.00000,1.00000,1745567070.45571,0.00000
229731.95312,229610.90625,229961.01562,229927.75000,230001.07812,230094.76562,229947.06250,230128.20312,0.57837,0.69824,0.45190,-1.70898,3.17383,2.31934,73.33334,5982.00000,1.00000,1745567070.46497,0.00000
229219.46875,229098.85938,229448.89062,229415.35938,229488.59375,229582.37500,229434.67188,229615.90625,0.58008,0.69824,0.45264,-1.67847,3.20435,2.25830,73.33334,5983.00000,1.00000,1745567070.46499,0.00000
225878.78125,225758.79688,226110.25000,226076.01562,226148.53125,226240.70312,226096.57812,226275.75000,0.57983,0.70068,0.45142,-1.73950,3.26538,2.25830,73.33334,5984.00000,1.00000,1745567070.46500,0.00000
224358.85938,224238.96875,224590.96875,224556.45312,224628.42188,224720.15625,224577.28125,224755.73438,0.57935,0.69751,0.45288,-1.64795,3.17383,2.19727,73.33334,5985.00000,1.00000,1745567070.46814,0.00000
226750.23438,226629.53125,226980.54688,226947.01562,227018.98438,227111.89062,226966.59375,227146.48438,0.57910,0.69824,0.45117,-1.64795,3.20435,2.28882,73.33334,5986.00000,1.00000,1745567070.46817,0.00000
229800.17188,229679.39062,230029.59375,229996.25000,230069.37500,230163.34375,230015.46875,230196.42188,0.57959,0.69897,0.45239,-1.70898,3.20435,2.28882,73.33334,5987.00000,1.00000,1745567070.47133,0.00000
228869.17188,228748.84375,229099.14062,229065.06250,229138.37500,229231.98438,229084.73438,229265.51562,0.57983,0.69873,0.45288,-1.64795,3.14331,2.34985,73.33334,6114.00000,1.00000,1745567070.98264,0.00000
226530.01562,226410.04688,226761.14062,226726.81250,226799.50000,226892.39062,226747.10938,226926.62500,0.57959,0.70044,0.45312,-1.64795,3.11279,2.28882,73.33334,6115.00000,1.00000,1745567070.99190,0.00000
235019.31250,234897.00000,235246.12500,235213.23438,235287.96875,235383.37500,235231.46875,235414.93750,0.58057,0.69604,0.45190,-1.61743,3.20435,2.28882,73.33334,6283.00000,1.00000,1745567071.65320,0.00000
236373.10938,236250.62500,236599.03125,236566.93750,236641.59375,236737.43750,236584.37500,236768.54688,0.58008,0.69800,0.45044,-1.67847,3.14331,2.31934,73.33334,6444.00000,1.00000,1745567072.29880,0.00000
233015.51562,232893.29688,233243.14062,233210.32812,233284.09375,233378.85938,233228.84375,233411.40625,0.57959,0.69775,0.45068,-1.64795,3.05176,2.38037,73.33334,6445.00000,1.00000,1745567072.30129,0.00000
243218.54688,243094.28125,243440.73438,243409.89062,243486.50000,243584.67188,243426.25000,243613.01562,0.57983,0.69946,0.44775,-1.77002,3.14331,2.34985,73.33334,6918.00000,1.00000,1745567074.18942,0.00000
245221.71875,245097.07812,245443.35938,245412.87500,245489.93750,245588.28125,245428.25000,245616.35938,0.58057,0.69971,0.45117,-1.77002,3.14331,2.25830,73.33334,6919.00000,1.00000,1745567074.19131,0.00000
