Fp1,Fp2,C3,C4,Pz,O1,O2,Fz,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Timestamp,Markers
86904.57031,86834.38281,87209.80469,87151.06250,87185.93750,87244.14062,87210.96875,87329.52344,0.65137,0.69849,0.33911,-1.80054,3.29590,2.28882,73.33334,1017.00000,1.00000,1751322719.95704,0.00000
86957.67969,86887.04688,87262.82031,87203.63281,87238.85938,87296.79688,87263.89844,87382.63281,0.65088,0.69922,0.33887,-1.80054,3.26538,2.25830,73.33334,1018.00000,1.00000,1751322719.95705,0.00000
87030.18750,86959.55469,87335.33594,87276.14844,87311.54688,87369.12500,87336.67188,87455.32031,0.65112,0.69971,0.33862,-1.80054,3.29590,2.25830,73.33334,1019.00000,1.00000,1751322719.95954,0.00000
87113.96094,87043.50781,87419.01562,87360.28125,87395.59375,87453.71094,87420.62500,87539.09375,0.65210,0.69849,0.34180,-1.73950,3.32642,2.28882,73.33334,1020.00000,1.00000,1751322719.95956,0.00000
87184.67969,87114.40625,87490.00781,87431.17969,87466.31250,87524.78906,87491.43750,87609.89844,0.65308,0.70190,0.33911,-1.86157,3.32642,2.25830,73.33334,1021.00000,1.00000,1751322719.96146,0.00000
87235.10938,87164.56250,87539.98438,87481.42188,87516.28906,87574.50000,87541.32812,87659.96875,0.65381,0.70142,0.34082,-1.70898,3.20435,2.19727,73.33334,1022.00000,1.00000,1751322719.97270,0.00000
87290.09375,87220.00000,87595.06250,87536.67969,87571.45312,87629.57031,87596.57812,87715.22656,0.65210,0.70020,0.33691,-1.73950,3.29590,2.25830,73.33334,1023.00000,1.00000,1751322719.97580,0.00000
87364.65625,87294.11719,87669.62500,87610.88281,87646.20312,87704.58594,87671.14844,87789.87500,0.65283,0.69971,0.33936,-1.77002,3.32642,2.25830,73.33334,1024.00000,1.00000,1751322719.97581,0.00000
87448.60938,87377.62500,87753.57812,87694.75000,87730.06250,87788.35938,87754.64844,87873.64844,0.65308,0.69873,0.33887,-1.70898,3.23486,2.28882,73.33334,1025.00000,1.00000,1751322719.97771,0.00000
87521.29688,87450.39844,87825.90625,87767.79688,87802.48438,87860.86719,87826.98438,87946.07031,0.65332,0.69727,0.33911,-1.64795,3.23486,2.19727,73.33334,1026.00000,1.00000,1751322719.98651,0.00000
87572.97656,87502.07812,87877.58594,87819.28906,87854.25000,87912.81250,87878.83594,87997.83594,0.65552,0.69775,0.34009,-1.73950,3.35693,2.16675,73.33334,1027.00000,1.00000,1751322719.99084,0.00000
87626.35156,87555.27344,87930.69531,87872.04688,87907.35938,87966.00781,87932.21094,88050.94531,0.65356,0.69946,0.34058,-1.80054,3.29590,2.22778,73.33334,1028.00000,1.00000,1751322719.99088,0.00000
87699.13281,87628.05469,88003.82812,87945.00000,87980.13281,88038.69531,88004.99219,88123.99219,0.65308,0.69897,0.33911,-1.86157,3.26538,2.22778,73.33334,1029.00000,1.00000,1751322719.99392,0.00000
88620.82812,88549.83594,88925.34375,88866.96094,88902.10156,88961.10938,88926.68750,89046.04688,0.65210,0.70044,0.34180,-1.83105,3.26538,2.25830,73.33334,1043.00000,1.00000,1751322720.05270,0.00000
91935.94531,91864.15625,92239.12500,92181.28125,92217.39844,92277.21094,92240.20312,92361.25781,0.65332,0.69897,0.33667,-1.83105,3.35693,2.25830,73.33334,1094.00000,1.00000,1751322720.25524,0.00000
98993.91406,98921.67188,99293.87500,99238.17188,99275.63281,99338.13281,99294.94531,99419.93750,0.65381,0.69897,0.34229,-1.83105,3.29590,2.38037,73.33334,1209.00000,1.00000,1751322720.71270,0.00000
112976.09375,112899.92188,113268.89844,113217.22656,113257.28125,113324.42188,113270.15625,113402.83594,0.65039,0.69775,0.33691,-1.73950,3.29590,2.19727,73.33334,1463.00000,1.00000,1751322721.72894,0.00000
135101.18750,135015.09375,135382.20312,135334.45312,135379.25000,135451.67188,135380.85938,135524.35938,0.65356,0.70166,0.33789,-1.80054,3.32642,2.13623,73.33334,1942.00000,1.00000,1751322723.64146,0.00000
135149.37500,135063.18750,135430.39062,135382.82812,135427.34375,135499.76562,135428.87500,135572.18750,0.65259,0.70215,0.33911,-1.77002,3.23486,2.19727,73.33334,1943.00000,1.00000,1751322723.65271,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-3.03984,0.00000,0.62866,0.68921,0.34546,0.00000,0.00000,0.00000,73.33334,1.00000,1.00000,1751322733.34900,0.00000
0.00000,-22.97759,0.00000,0.00000,-13.32164,0.00000,-348.24020,-117.30196,0.64526,0.69727,0.34351,0.00000,0.00000,0.00000,73.33334,2.00000,1.00000,1751322733.35272,0.00000
0.00000,-647.30658,-44.61408,-25.74921,-764.34027,0.00000,-1687.28857,-2282.02393,0.64868,0.69971,0.34009,0.00000,0.00000,0.00000,73.33334,3.00000,1.00000,1751322733.35704,0.00000
0.00000,-1534.31323,-798.94080,-490.66553,-2032.31006,0.00000,-2294.63013,-5303.08594,0.64966,0.69946,0.33691,0.00000,0.00000,0.00000,73.33334,4.00000,1.00000,1751322733.35706,0.00000
0.00000,-1437.75366,-1431.22693,-1711.78613,-1740.39636,0.00000,-1954.16846,-10168.34570,0.65161,0.69971,0.33862,0.00000,0.00000,0.00000,73.33334,5.00000,1.00000,1751322733.36273,0.00000
-172.28726,-1162.29077,-1139.22375,-1685.85803,-1263.49951,16.54029,-1567.12561,-3403.63452,0.65186,0.70142,0.33936,4.42505,-2.96020,-9.52148,73.33334,6.00000,1.00000,1751322733.37207,0.00000
-1763.46326,-888.61597,-812.97766,-1245.70752,-835.77649,-350.47537,-1254.73755,-684.76807,0.65112,0.70142,0.33984,0.09155,1.49536,-1.06812,73.33334,7.00000,1.00000,1751322733.37210,0.00000
-1182.76501,-701.21893,-566.66144,-958.88989,-492.72189,-443.99509,-1092.01685,-423.52087,0.65137,0.70215,0.33521,-1.25122,2.56348,1.00708,73.33334,8.00000,1.00000,1751322733.38081,0.00000
-795.63275,-632.46497,-416.10010,-830.23322,-233.26282,-156.19400,-1067.34058,-174.25421,0.65283,0.70093,0.33472,-1.61743,3.08228,1.77002,73.33334,9.00000,1.00000,1751322733.38084,0.00000
-920.80249,-715.61346,-289.14218,-860.27399,-32.27592,-6.97374,-1225.50146,-3.03984,0.65283,0.70215,0.33716,-1.83105,3.20435,2.07520,73.33334,10.00000,1.00000,1751322733.38330,0.00000
